environment,intersection_id,city,city_label,topology,lane_profile,risk_level,day_index,time_window,arrival_demand,exit_lane_capacity,queue_length,overflow_count,overflow_duration_seconds,speed_kmh,throughput,stop_frequency,average_delay_seconds,safety_violation_rate,phase_switch_timing_error_seconds
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,6,evening,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.5486
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,7,am_peak,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.6003
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,7,midday,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.5433
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,7,pm_peak,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.5069
sumo,city1_i03,city_1,City 1,4way,mild_imbalance,medium,7,evening,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.4924
sumo,city1_i04,city_1,City 1,4way,mild_imbalance,medium,1,am_peak,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.5634
sumo,city1_i04,city_1,City 1,4way,mild_imbalance,medium,1,midday,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.5029
sumo,city1_i04,city_1,City 1,4way,mild_imbalance,medium,1,pm_peak,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.5211
sumo,city1_i04,city_1,City 1,4way,mild_imbalance,medium,1,evening,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.6049
sumo,city1_i04,city_1,City 1,4way,mild_imbalance,medium,2,am_peak,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.5914
sumo,city1_i04,city_1,City 1,4way,mild_imbalance,medium,2,midday,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.5165
sumo,city1_i04,city_1,City 1,4way,mild_imbalance,medium,2,pm_peak,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.4948
sumo,city1_i04,city_1,City 1,4way,mild_imbalance,medium,2,evening,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.4784
sumo,city1_i04,city_1,City 1,4way,mild_imbalance,medium,3,am_peak,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.4732
sumo,city1_i04,city_1,City 1,4way,mild_imbalance,medium,3,midday,900.0,3140.0,1249.3047,857.0,857.0,9.1331,785.0,0.806,181.3541,0.24,0.484
