arrival_demand,average_delay_seconds,average_travel_time,exit_lane_capacity,mean_vehicle_distance,overflow_count,overflow_duration_seconds,phase_switch_timing_error_seconds,queue_length,safety_violation_rate,speed_kmh,stop_frequency,throughput,environment,intersection_id,city,city_label,topology,lane_profile,risk_level,day_index,time_window
895.6328,156.7217,123.7122,2496.4231,189.1705,623.004,618.7068,0.3956,992.6714,0.2339,11.5665,1.912,791.2686,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,4,evening
900.5597,157.7511,123.7122,2458.2242,189.1705,618.342,617.0002,0.452,983.9039,0.2338,11.6734,1.8811,783.8437,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,5,am_peak
901.7409,155.8047,123.7122,2498.0717,189.1705,610.8509,619.0196,0.386,987.8326,0.2371,11.4509,1.8886,787.9777,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,5,midday
901.3291,158.1868,123.7122,2492.5104,189.1705,612.9677,619.4801,0.439,993.7699,0.2331,11.5598,1.8783,779.806,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,5,pm_peak
895.0146,158.0248,123.7122,2494.8483,189.1705,611.3674,613.9181,0.461,996.0635,0.2322,11.5136,1.8843,792.5543,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,5,evening
905.6004,159.1193,123.7122,2488.3457,189.1705,618.0236,623.9044,0.3964,984.6192,0.2344,11.4516,1.8947,784.2662,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,6,am_peak
907.1672,158.55,123.7122,2503.5791,189.1705,619.0419,623.2807,0.4735,1001.1454,0.2352,11.6215,1.9044,782.0478,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,6,midday
906.622,159.0026,123.7122,2455.0071,189.1705,619.4851,618.0923,0.4291,995.6352,0.2345,11.7138,1.9132,784.5232,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,6,pm_peak
908.5583,156.3294,123.7122,2477.6492,189.1705,621.3722,612.6098,0.4209,1003.8534,0.2337,11.6878,1.8736,789.123,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,6,evening
894.9294,159.1849,123.7122,2486.2498,189.1705,615.6176,614.0579,0.4418,982.7835,0.2317,11.5765,1.9045,791.4207,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,7,am_peak
895.3963,157.2985,123.7122,2481.8498,189.1705,615.2465,618.1294,0.4017,988.7806,0.2325,11.5453,1.882,785.6906,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,7,midday
903.8373,156.1961,123.7122,2493.7248,189.1705,616.2575,615.3908,0.4704,992.0302,0.2358,11.6331,1.898,787.2658,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,7,pm_peak
905.5494,156.4151,123.7122,2459.5283,189.1705,614.1845,611.0595,0.4524,980.3083,0.2348,11.5114,1.8744,792.7072,cityflow_calibrated,city1_i04,city_1,City 1,4way,mild_imbalance,medium,7,evening
890.5428,202.2642,129.5589,2341.8002,184.492,621.6604,614.3556,0.434,1175.7793,0.2339,10.8327,2.2018,762.0662,cityflow_calibrated,city1_i05,city_1,City 1,4way,severe_imbalance,high,1,am_peak
890.3516,203.5156,129.5589,2376.679,184.492,620.3025,619.963,0.3992,1149.977,0.2327,10.7164,2.2125,752.4754,cityflow_calibrated,city1_i05,city_1,City 1,4way,severe_imbalance,high,1,midday
