method,split,intersection_id,city,topology,lane_profile,risk_level,overflow_count,overflow_duration_minutes,overflow_switch_success,throughput,stop_frequency,average_delay_seconds,safety_violation_rate
calibrated_sim_plus_domain_randomization_plus_opm,test,city3_i05,city_3,4way,severe_imbalance,high,11656.6178,202.0089,0.8792,22503.3114,0.8985,196.9683,0.0913
real_only,test,city3_i06,city_3,3way,balanced,low,1147.5567,19.7697,0.7284,13334.2243,0.0568,12.4663,0.1692
default_sim,test,city3_i06,city_3,3way,balanced,low,1611.9536,26.8301,0.5782,12933.7383,0.0628,13.9403,0.2281
calibrated_sim,test,city3_i06,city_3,3way,balanced,low,1265.2079,21.4761,0.6991,13294.1757,0.058,12.8754,0.1819
calibrated_sim_plus_domain_randomization,test,city3_i06,city_3,3way,balanced,low,1093.8681,19.1009,0.7651,13454.3701,0.0551,12.2328,0.1567
calibrated_sim_plus_opm,test,city3_i06,city_3,3way,balanced,low,970.619,16.442,0.8224,13547.8168,0.0544,11.986,0.1105
calibrated_sim_plus_domain_randomization_plus_opm,test,city3_i06,city_3,3way,balanced,low,744.6148,13.3121,0.8827,13774.7589,0.0515,11.2817,0.0782
real_only,test,city3_i07,city_3,4way,balanced,medium,16463.3625,278.1827,0.7253,25878.1944,0.6196,135.978,0.1728
default_sim,test,city3_i07,city_3,4way,balanced,medium,23087.5823,380.6191,0.5633,25111.1793,0.6803,153.0744,0.24
calibrated_sim,test,city3_i07,city_3,4way,balanced,medium,18094.8315,303.1138,0.6916,25801.4929,0.6376,141.3092,0.1891
calibrated_sim_plus_domain_randomization,test,city3_i07,city_3,4way,balanced,medium,15320.33,266.1859,0.7604,26108.2989,0.6034,133.8267,0.1618
calibrated_sim_plus_opm,test,city3_i07,city_3,4way,balanced,medium,13542.8685,229.914,0.8165,26287.2691,0.5969,131.466,0.1173
calibrated_sim_plus_domain_randomization_plus_opm,test,city3_i07,city_3,4way,balanced,medium,10840.5525,189.897,0.8793,26721.911,0.5637,123.3934,0.0833
real_only,test,city3_i08,city_3,4way,mild_imbalance,medium,16271.5038,276.9279,0.7257,23231.9368,0.7342,161.188,0.1731
default_sim,test,city3_i08,city_3,4way,mild_imbalance,medium,22568.8979,375.8005,0.5654,22549.0622,0.806,181.3541,0.2395
calibrated_sim,test,city3_i08,city_3,4way,mild_imbalance,medium,17650.0058,299.4796,0.6927,23163.6494,0.7548,167.3248,0.1888
calibrated_sim_plus_domain_randomization,test,city3_i08,city_3,4way,mild_imbalance,medium,15522.2581,268.2586,0.7611,23436.7992,0.7151,158.6174,0.162
calibrated_sim_plus_opm,test,city3_i08,city_3,4way,mild_imbalance,medium,13676.8216,231.5219,0.8173,23596.1366,0.7072,155.8096,0.1179
calibrated_sim_plus_domain_randomization_plus_opm,test,city3_i08,city_3,4way,mild_imbalance,medium,10755.5255,189.8464,0.8798,23983.0989,0.6686,146.4003,0.0844
real_only,test,city3_i09,city_3,3way,mild_imbalance,medium,8757.6935,148.8255,0.7275,13317.6708,0.0935,20.5113,0.1716
default_sim,test,city3_i09,city_3,3way,mild_imbalance,medium,11990.7721,199.3979,0.5739,12926.214,0.1029,23.0001,0.2325
calibrated_sim,test,city3_i09,city_3,3way,mild_imbalance,medium,9440.3464,159.9716,0.6969,13278.5251,0.0957,21.2138,0.1853
calibrated_sim_plus_domain_randomization,test,city3_i09,city_3,3way,mild_imbalance,medium,8277.4525,143.3297,0.7637,13435.1078,0.0909,20.1545,0.1598
calibrated_sim_plus_opm,test,city3_i09,city_3,3way,mild_imbalance,medium,7197.3769,122.6616,0.8207,13526.4478,0.0897,19.7731,0.1151
calibrated_sim_plus_domain_randomization_plus_opm,test,city3_i09,city_3,3way,mild_imbalance,medium,5852.0576,102.4625,0.8817,13748.2733,0.0851,18.6185,0.0828
real_only,test,city3_i10,city_3,4way,balanced,medium,16486.1689,278.3769,0.7253,25878.1944,0.6196,135.978,0.1728
default_sim,test,city3_i10,city_3,4way,balanced,medium,22985.3648,379.7746,0.5633,25111.1793,0.6803,153.0744,0.24
