method,intersection_id,city,topology,lane_profile,risk_level,overflow_count,overflow_duration_minutes,overflow_switch_success,throughput,stop_frequency,average_delay_seconds,safety_violation_rate,setting,setting_description
calibrated_sim_plus_domain_randomization_plus_opm,city1_i14,city_1,3way,mild_imbalance,medium,8025.5677,138.5936,0.8651,12920.7558,0.0911,20.3447,0.1126,V2,heavier vehicle dynamics
default_sim,city1_i15,city_1,4way,balanced,medium,27908.8405,476.4756,0.5364,23441.0022,0.7252,166.4776,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i15,city_1,4way,balanced,medium,14861.3866,257.0715,0.8624,25112.0113,0.6041,134.93,0.1137,V2,heavier vehicle dynamics
default_sim,city1_i16,city_1,3way,severe_imbalance,high,26053.5208,444.6525,0.5388,12122.5261,0.3325,76.3307,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i16,city_1,3way,severe_imbalance,high,14318.6803,248.4786,0.8629,12953.1648,0.2794,62.4961,0.1213,V2,heavier vehicle dynamics
default_sim,city1_i17,city_1,4way,balanced,low,28230.9582,479.2054,0.5364,23448.7925,0.7252,166.4776,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i17,city_1,4way,balanced,low,14850.3923,255.4134,0.8624,25139.4331,0.6023,134.4862,0.1113,V2,heavier vehicle dynamics
default_sim,city1_i18,city_1,3way,mild_imbalance,medium,15148.2858,257.7353,0.5482,12066.6746,0.1097,25.1685,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i18,city_1,3way,mild_imbalance,medium,8086.2599,139.1194,0.8651,12920.7558,0.0911,20.3447,0.1126,V2,heavier vehicle dynamics
default_sim,city2_i01,city_2,3way,severe_imbalance,high,26958.0757,454.1583,0.5376,12898.5957,0.3582,82.2231,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city2_i01,city_2,3way,severe_imbalance,high,14823.0699,256.5665,0.8627,13763.9238,0.3026,67.7387,0.1257,V2,heavier vehicle dynamics
default_sim,city2_i02,city_2,4way,severe_imbalance,high,28138.5077,478.9819,0.536,19786.3254,1.1432,262.4537,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city2_i02,city_2,4way,severe_imbalance,high,16099.8701,276.1786,0.8623,21113.7306,0.9666,216.3506,0.126,V2,heavier vehicle dynamics
default_sim,city2_i03,city_2,4way,mild_imbalance,high,28355.8024,480.2634,0.5387,21029.815,0.8591,197.2335,0.2707,V2,heavier vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city2_i03,city_2,4way,mild_imbalance,high,15735.0328,269.7885,0.8629,22469.7446,0.7221,161.5264,0.1214,V2,heavier vehicle dynamics
